,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
316,Nanortalik,42,GL,scattered clouds,59,60.1432,-45.2371,13.21,33.17
317,Adrar,93,MR,overcast clouds,7,20.5022,-10.0711,78.46,11.45
318,Koch Bihar,51,IN,broken clouds,74,26.3167,89.4333,60.51,2.82
319,Odweyne,64,SO,broken clouds,8,9.4092,45.064,88.47,13.24
320,Mogadishu,0,SO,clear sky,70,2.0371,45.3438,85.87,13.8
321,Palmer,100,US,overcast clouds,73,42.1584,-72.3287,21.47,5.99
322,George,20,ZA,few clouds,64,-33.963,22.4617,74.75,19.57
323,Zanjan,75,IR,broken clouds,65,36.6736,48.4787,37.09,9.22
324,Port Augusta,7,AU,clear sky,48,-32.5,137.7667,79.7,11.41
325,Sault Sainte Marie,0,CA,clear sky,69,46.5168,-84.3333,6.89,4.61
326,Soe,98,ID,overcast clouds,92,-9.8607,124.284,69.04,1.54
327,Lanja,62,IN,broken clouds,54,16.85,73.55,77.54,7.78
328,Turka,99,UA,overcast clouds,90,49.1541,23.0297,35.8,8.68
329,Aktash,0,RU,clear sky,71,50.3,87.7333,-11.24,5.59
330,Hofn,100,IS,overcast clouds,61,64.2539,-15.2082,27.48,12.24
331,Kargil,39,IN,scattered clouds,98,34.5667,76.1,-5.67,0.96
332,Itapaci,97,BR,overcast clouds,87,-14.9508,-49.5494,76.71,2.53
333,Chandbali,3,IN,clear sky,32,20.7833,86.7667,72.23,2.24
334,Dubbo,60,AU,broken clouds,55,-32.25,148.6167,64.53,10.36
335,Vzmorye,70,RU,broken clouds,78,54.6961,20.2361,41.09,21.0
336,Joacaba,97,BR,overcast clouds,81,-27.1781,-51.5047,75.74,2.75
337,Lana,16,IT,few clouds,55,46.6124,11.1559,51.75,3.15
338,Jalu,0,LY,clear sky,43,29.0331,21.5482,61.48,5.64
339,Kishtwar,3,IN,clear sky,70,33.3167,75.7667,41.22,1.03
340,Salalah,0,OM,clear sky,60,17.0151,54.0924,78.3,8.93
341,Saint Anthony,100,US,overcast clouds,75,45.0205,-93.218,1.92,5.01
342,Tacana,61,GT,broken clouds,91,15.2333,-92.0833,45.5,8.37
343,Gubkinskiy,14,RU,few clouds,100,64.434,76.5026,-4.81,9.26
344,Coolum Beach,83,AU,broken clouds,74,-26.5333,153.1,72.1,1.99
345,Freeport,100,US,overcast clouds,80,40.6576,-73.5832,25.52,3.0
346,Causapscal,100,CA,light snow,97,48.3542,-67.227,4.73,4.88
